Level,time,Male_WKG,Female_WKG
HC,5.00,24.04,19.42
HC,15.00,19.80,15.99
HC,30.00,16.86,13.62
HC,60.00,11.50,9.29
HC,300.00,7.60,6.61
HC,"1,200.00",7.02,6.15
HC,"3,600.00",6.40,5.69
World class: international pro,5.00,22.41,18.13
World class: international pro,15.00,18.48,14.95
World class: international pro,30.00,15.76,12.75
World class: international pro,60.00,10.81,8.75
World class: international pro,300.00,6.98,6.05
World class: international pro,"1,200.00",6.44,5.63
World class: international pro,"3,600.00",5.87,5.20
Exceptional: domestic pro,5.00,20.78,16.83
Exceptional: domestic pro,15.00,17.16,13.90
Exceptional: domestic pro,30.00,14.67,11.88
Exceptional: domestic pro,60.00,10.12,8.20
Exceptional: domestic pro,300.00,6.36,5.50
Exceptional: domestic pro,"1,200.00",5.87,5.10
Exceptional: domestic pro,"3,600.00",5.33,4.70
Excellent: Cat. 1,5.00,18.87,15.32
Excellent: Cat. 1,15.00,15.61,12.68
Excellent: Cat. 1,30.00,13.39,10.87
Excellent: Cat. 1,60.00,9.32,7.57
Excellent: Cat. 1,300.00,5.64,4.85
Excellent: Cat. 1,"1,200.00",5.20,4.50
Excellent: Cat. 1,"3,600.00",4.71,4.13
Very good: Cat. 2,5.00,16.97,13.82
Very good: Cat. 2,15.00,14.08,11.46
Very good: Cat. 2,30.00,12.11,9.86
Very good: Cat. 2,60.00,8.51,6.93
Very good: Cat. 2,300.00,4.91,4.20
Very good: Cat. 2,"1,200.00",4.52,3.88
Very good: Cat. 2,"3,600.00",4.09,3.55
Good: Cat. 3,5.00,15.34,12.52
Good: Cat. 3,15.00,12.76,10.41
Good: Cat. 3,30.00,11.01,8.99
Good: Cat. 3,60.00,7.82,6.39
Good: Cat. 3,300.00,4.29,3.65
Good: Cat. 3,"1,200.00",3.94,3.37
Good: Cat. 3,"3,600.00",3.55,3.06
Moderate: Cat. 4,5.00,13.71,11.23
Moderate: Cat. 4,15.00,11.44,9.37
Moderate: Cat. 4,30.00,9.92,8.13
Moderate: Cat. 4,60.00,7.13,5.85
Moderate: Cat. 4,300.00,3.67,3.09
Moderate: Cat. 4,"1,200.00",3.36,2.84
Moderate: Cat. 4,"3,600.00",3.02,2.57
Fair: Cat. 5,5.00,12.08,9.94
Fair: Cat. 5,15.00,10.12,8.33
Fair: Cat. 5,30.00,8.82,7.26
Fair: Cat. 5,60.00,6.44,5.30
Fair: Cat. 5,300.00,3.05,2.54
Fair: Cat. 5,"1,200.00",2.79,2.33
Fair: Cat. 5,"3,600.00",2.49,2.08
Untrained: non-racer,5.00,10.17,8.43
Untrained: non-racer,15.00,8.58,7.11
Untrained: non-racer,30.00,7.55,6.25
Untrained: non-racer,60.00,5.64,4.67
Untrained: non-racer,300.00,2.33,1.89
Untrained: non-racer,"1,200.00",2.12,1.71
Untrained: non-racer,"3,600.00",1.86,1.50
